YEAR,MONTH,DAY_OF_MONTH,FL_DATE,ORIGIN,DEST,DEP_DELAY_NEW,DEP_DEL15,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2019,7,14,7/14/19,BWI,ATL,0,0,0,0,96,577,,,,,
2019,7,14,7/14/19,BWI,DTW,0,0,0,0,84,409,,,,,
2019,7,14,7/14/19,DTW,BWI,0,0,0,0,86,409,,,,,
2019,7,14,7/14/19,ATL,BWI,0,0,0,0,113,577,,,,,
2019,7,14,7/14/19,BWI,DTW,0,0,0,0,89,409,,,,,
2019,7,14,7/14/19,BWI,DTW,0,0,0,0,82,409,,,,,
2019,7,14,7/14/19,MSP,BWI,0,0,0,0,151,936,,,,,
2019,7,14,7/14/19,SLC,BWI,0,0,0,0,238,1865,,,,,
2019,7,14,7/14/19,ATL,BWI,0,0,0,0,110,577,,,,,
2019,7,14,7/14/19,ATL,BWI,0,0,0,0,106,577,,,,,
2019,7,14,7/14/19,BWI,ATL,0,0,0,0,99,577,,,,,
2019,7,14,7/14/19,BWI,ATL,0,0,0,0,93,577,,,,,
2019,7,14,7/14/19,ATL,BWI,0,0,0,0,110,577,,,,,
2019,7,14,7/14/19,BWI,ATL,0,0,0,0,92,577,,,,,
2019,7,14,7/14/19,ATL,BWI,0,0,0,0,111,577,,,,,
2019,7,14,7/14/19,BWI,ATL,0,0,0,0,111,577,,,,,
2019,7,14,7/14/19,BWI,ATL,0,0,0,0,96,577,,,,,
2019,7,14,7/14/19,ATL,BWI,5,0,0,0,103,577,,,,,
2019,7,14,7/14/19,DTW,BWI,0,0,0,0,84,409,,,,,
2019,7,15,7/15/19,BWI,SLC,0,0,0,0,259,1865,,,,,
2019,7,20,7/20/19,BWI,ATL,12,0,22,1,119,577,12,0,10,0,0
2019,7,20,7/20/19,DTW,BWI,33,1,43,1,104,409,14,0,10,0,19
2019,7,20,7/20/19,ATL,BWI,1,0,0,0,108,577,,,,,
2019,7,20,7/20/19,SLC,BWI,6,0,1,0,249,1865,,,,,
2019,7,20,7/20/19,DTW,BWI,103,1,98,1,84,409,98,0,0,0,0
2019,7,20,7/20/19,ATL,BWI,0,0,0,0,110,577,,,,,
2019,7,20,7/20/19,BWI,MSP,170,1,174,1,165,936,42,0,4,0,128
2019,7,20,7/20/19,MSP,BWI,131,1,140,1,155,936,8,0,9,0,123
2019,7,20,7/20/19,BWI,MSP,6,0,15,1,169,936,6,0,9,0,0
2019,7,20,7/20/19,BWI,ATL,8,0,0,0,99,577,,,,,
2019,7,20,7/20/19,ATL,BWI,4,0,0,0,106,577,,,,,
2019,7,20,7/20/19,BWI,ATL,0,0,0,0,93,577,,,,,
2019,7,20,7/20/19,BWI,MSP,101,1,124,1,180,936,3,0,23,0,98
